Datetime,NMEA msg,UTC time,latitude,northing,longitude,easting,fix mode status,space vehicles used,hdop,altitude msl,units,geoid (HAE-MSL),units,Age of DGNSS corrections,Ref station,latitude_decimal,longitude_decimal,HAE
2024-07-29 15:09:38,$GNGGA,200938,4153.25337,N,8739.54057,W,5,12,1.87,184.2,M,-33.8,M,11,0000*68,41.88755616666667,-87.6590095,150.39999999999998
2024-07-29 15:09:41,$GNGGA,200941,4153.25541,N,8739.54058,W,5,12,1.4,183.8,M,-33.8,M,4,0000*5C,41.88759016666667,-87.65900966666666,150.0
2024-07-29 15:09:43,$GNGGA,200943,4153.25657,N,8739.54053,W,5,12,1.4,183.6,M,-33.8,M,6,0000*5D,41.8876095,-87.65900883333333,149.8
2024-07-29 15:09:44,$GNGGA,200944,4153.25702,N,8739.54052,W,5,12,1.4,183.6,M,-33.8,M,7,0000*5B,41.887617,-87.65900866666667,149.8
2024-07-29 15:09:45,$GNGGA,200945,4153.25727,N,8739.54049,W,5,12,1.4,183.5,M,-33.8,M,8,0000*5B,41.88762116666667,-87.65900816666667,149.7
2024-07-29 15:09:46,$GNGGA,200946,4153.25731,N,8739.54047,W,5,12,1.4,183.4,M,-33.8,M,9,0000*51,41.887621833333334,-87.65900783333333,149.60000000000002
2024-07-29 15:09:47,$GNGGA,200947,4153.25733,N,8739.54046,W,5,12,1.4,183.2,M,-33.8,M,10,0000*6D,41.88762216666667,-87.65900766666667,149.39999999999998
2024-07-29 15:09:48,$GNGGA,200948,4153.25739,N,8739.54047,W,5,12,1.4,182.7,M,-33.8,M,11,0000*6C,41.887623166666664,-87.65900783333333,148.89999999999998
2024-07-29 15:09:49,$GNGGA,200949,4153.25742,N,8739.54045,W,5,12,1.4,182.2,M,-33.8,M,12,0000*65,41.88762366666667,-87.6590075,148.39999999999998
2024-07-29 15:09:50,$GNGGA,200950,4153.25742,N,8739.54046,W,5,12,1.4,181.9,M,-33.8,M,3,0000*56,41.88762366666667,-87.65900766666667,148.10000000000002
2024-07-29 15:09:51,$GNGGA,200951,4153.25743,N,8739.54049,W,5,12,0.88,181.7,M,-33.8,M,4,0000*55,41.887623833333336,-87.65900816666667,147.89999999999998
2024-07-29 15:09:52,$GNGGA,200952,4153.25743,N,8739.54051,W,5,12,0.88,181.6,M,-33.8,M,5,0000*5F,41.887623833333336,-87.6590085,147.8
2024-07-29 15:09:53,$GNGGA,200953,4153.25743,N,8739.54052,W,5,12,0.88,181.6,M,-33.8,M,6,0000*5E,41.887623833333336,-87.65900866666667,147.8
2024-07-29 15:09:54,$GNGGA,200954,4153.25743,N,8739.54054,W,5,12,0.88,181.5,M,-33.8,M,7,0000*5D,41.887623833333336,-87.659009,147.7
2024-07-29 15:09:55,$GNGGA,200955,4153.25743,N,8739.54055,W,5,12,0.88,181.5,M,-33.8,M,8,0000*52,41.887623833333336,-87.65900916666666,147.7
2024-07-29 15:09:56,$GNGGA,200956,4153.25743,N,8739.54054,W,5,12,0.88,181.6,M,-33.8,M,9,0000*52,41.887623833333336,-87.659009,147.8
2024-07-29 15:09:57,$GNGGA,200957,4153.25741,N,8739.54058,W,5,12,0.88,182.1,M,-33.8,M,10,0000*61,41.8876235,-87.65900966666666,148.3
2024-07-29 15:09:58,$GNGGA,200958,4153.25735,N,8739.54087,W,5,12,0.88,182.3,M,-33.8,M,11,0000*6C,41.8876225,-87.6590145,148.5
2024-07-29 15:09:59,$GNGGA,200959,4153.25728,N,8739.54141,W,5,12,0.88,182.2,M,-33.8,M,12,0000*68,41.887621333333335,-87.6590235,148.39999999999998
